sample_index,native_mae,invariant_mae,expert_0_mae,expert_1_mae,expert_2_mae,native_argmax_mae,uniform_mae,oracle_mae,oracle_route,native_route,native_argmax_route,best_env_route,environment_gain,oracle_environment_group,route_regret,relative_route_regret,argmax_route_regret,env_use_score,correction_norm,routing_entropy,max_router_prob,valid_count,expert_selection_regret
70,5.332253502155172,40.80997440732759,5.332253502155172,5.3480662378771555,5.3486765894396555,5.332253502155172,5.3428142679148705,5.332253502155172,expert_0,0,0,0,0.8693394548858687,environment_preferred,0.0,0.0,0.0,,0.3312664031982422,5.5262041470660606e-11,1.0,145,0.0
71,4.860102999037591,38.636414458786234,4.860102999037591,4.872353816377943,4.86350637242414,4.860102999037591,4.865209607110507,4.860102999037591,expert_0,0,0,0,0.8742092643140604,environment_preferred,0.0,0.0,0.0,,0.3172591030597687,5.5262041470660606e-11,1.0,138,0.0
72,5.008118131267491,32.63547253964552,5.008118131267491,4.98929151848181,4.995081659573228,5.008118131267491,4.996100126807369,4.98929151848181,expert_1,0,0,1,0.8471205982257243,environment_preferred,0.018826612785680652,0.0037734040426263557,0.018826612785680652,,0.3071691393852234,5.5262041470660606e-11,1.0,134,0.018826612785680652
73,5.09214504076087,28.298923658288043,5.09214504076087,5.087415081521739,5.100377356487772,5.09214504076087,5.091804305366848,5.087415081521739,expert_1,0,0,1,0.8202258452316874,environment_preferred,0.004729959239130999,0.0009297372365606507,0.004729959239130999,,0.299018919467926,5.5262041470660606e-11,1.0,115,0.004729959239130999
74,4.485804534155475,29.467333580836776,4.485804534155475,4.464358999709453,4.467530810143336,4.485804534155475,4.470673364056044,4.464358999709453,expert_1,0,0,1,0.8484980330011019,environment_preferred,0.021445534446022485,0.004803720858340065,0.021445534446022485,,0.29701438546180725,5.5262041470660606e-11,1.0,121,0.021445534446022485
75,3.379230046676377,29.787746623411017,3.379230046676377,3.3731327380164196,3.360050524695445,3.379230046676377,3.3695567502813826,3.360050524695445,expert_2,0,0,2,0.8872002448800645,environment_preferred,0.01917952198093209,0.005708105232337398,0.01917952198093209,,0.29604804515838623,5.5262041470660606e-11,1.0,118,0.01917952198093209
76,3.886744866004357,29.22325016902043,3.886744866004357,3.8539017897385817,3.887285966139573,3.886744866004357,3.8754034775954027,3.8539017897385817,expert_1,0,0,1,0.868122068303542,environment_preferred,0.032843076265775206,0.00852203249009182,0.032843076265775206,,0.2956354022026062,5.5262041470660606e-11,1.0,104,0.032843076265775206
77,5.818443231997283,35.30062415081522,5.818443231997283,5.787289826766305,5.803150475543478,5.818443231997283,5.801865022078804,5.787289826766305,expert_1,0,0,1,0.8360570112856587,environment_preferred,0.031153405230978315,0.005383073280154959,0.031153405230978315,,0.2927476465702057,5.5262041470660606e-11,1.0,115,0.031153405230978315
78,5.902017388462035,45.04865056818182,5.902017388462035,5.882817544227789,5.8883566107631715,5.902017388462035,5.890847450445507,5.882817544227789,expert_1,0,0,1,0.8694119031307262,environment_preferred,0.01919984423424559,0.003263715743331942,0.01919984423424559,,0.32082656025886536,5.5262041470660606e-11,1.0,121,0.01919984423424559
79,7.210592241429571,76.8959232159515,7.2190050722947765,7.210592241429571,7.217067889313199,7.210592241429571,7.2151616793959885,7.210592241429571,expert_1,1,1,1,0.9062291999384724,environment_preferred,0.0,0.0,0.0,,0.4208374321460724,5.5262041470660606e-11,1.0,134,0.0
80,8.413367351502863,101.04746391937023,8.41866576216603,8.413367351502863,8.433174424499045,8.413367351502863,8.421735224833014,8.413367351502863,expert_1,1,1,1,0.916738461064038,environment_preferred,0.0,0.0,0.0,,0.5036187767982483,5.5262041470660606e-11,1.0,131,0.0
81,10.635883170114436,123.59127420774648,10.635059625330106,10.635883170114436,10.631052796269806,10.635883170114436,10.63399795747139,10.631052796269806,expert_2,1,1,2,0.9139821733822414,environment_preferred,0.0048303738446300315,0.00045436458055451474,0.0048303738446300315,,0.5826078653335571,5.5262041470660606e-11,1.0,142,0.0048303738446300315
82,10.142405192057291,130.59019639756946,10.146881951226128,10.143637763129341,10.142405192057291,10.142405192057291,10.144241333007812,10.142405192057291,expert_2,2,2,2,0.9223340995584408,environment_preferred,0.0,0.0,0.0,,0.6295560598373413,5.5262041470660606e-11,1.0,144,0.0
83,10.982008713942308,137.3888494318182,10.988375150240385,10.982106882375437,10.982008713942308,10.982008713942308,10.984160736724213,10.982008713942308,expert_2,2,2,2,0.9200662298333583,environment_preferred,0.0,0.0,0.0,,0.6457360982894897,5.5262041470660606e-11,1.0,143,0.0
84,8.62674939954603,132.24519636824326,8.622396933065879,8.619780669341216,8.62674939954603,8.62674939954603,8.62274252401816,8.619780669341216,expert_1,2,2,1,0.9348197068320047,environment_preferred,0.006968730204814477,0.000808457949469737,0.006968730204814477,,0.6433351039886475,5.5262041470660606e-11,1.0,148,0.006968730204814477
85,9.479483277258211,135.60921817974452,9.480301237454379,9.479483277258211,9.481899734831204,9.479483277258211,9.48041528854927,9.479483277258211,expert_1,1,1,1,0.9300970582641842,environment_preferred,0.0,0.0,0.0,,0.6296427249908447,5.5262041470660606e-11,1.0,137,0.0
86,8.524619321469908,126.87563657407408,8.535988136574074,8.524619321469908,8.53289840133102,8.524619321469908,8.531011284722222,8.524619321469908,expert_1,1,1,1,0.932811219303771,environment_preferred,0.0,0.0,0.0,,0.6008275747299194,5.5262041470660606e-11,1.0,135,0.0
87,9.96040822498834,124.87333838619404,9.977294010902519,9.96040822498834,9.961958700151586,9.96040822498834,9.966552734375,9.96040822498834,expert_1,1,1,1,0.9202359098129984,environment_preferred,0.0,0.0,0.0,,0.5836730599403381,5.5262041470660606e-11,1.0,134,0.0
