sample_index,valid_count_masked,mae_masked_full,mae_unmasked_full,mae_masked_inv_disentangle,mae_unmasked_inv_disentangle,mae_masked_inv_no_env,mae_unmasked_inv_no_env,gain_full_vs_inv_disentangle,gain_full_vs_inv_no_env,gain_inv_disentangle_vs_inv_no_env,best_model_masked,best_margin_masked
60,164,13.028313974054848,56.52921143531799,13.986800507801336,61.711473302841185,13.855934631533739,22.25158349990845,0.9584865337464876,0.8276206574788905,-0.13086587626759716,full,0.8276206574788905
61,165,16.06916152491714,57.06986730098724,19.61136739326246,64.14133078575134,18.370925961118758,24.164915890693663,3.54220586834532,2.301764436201619,-1.240441432143701,full,2.301764436201619
62,172,17.354375207146933,57.52245892524719,21.316643315692282,65.20442712306976,21.582933880562006,25.76905448436737,3.9622681085453486,4.228558673415073,0.266290564869724,full,3.9622681085453486
63,174,13.876358021264789,56.6806121301651,15.974433581034342,63.35369791984558,16.14522960268218,23.45044412136078,2.098075559769553,2.2688715814173896,0.17079602164783658,full,2.098075559769553
64,178,12.278883923305555,56.437986850738525,13.810520954346389,62.883090105056766,13.211330563834544,22.254353833198547,1.5316370310408338,0.9324466405289886,-0.5991903905118452,full,0.9324466405289886
65,175,10.663647853306362,56.478413443565366,10.583765585763114,61.94944923400879,10.960889511108398,21.154062781333923,-0.07988226754324756,0.2972416578020365,0.37712392534528405,inv_disentangle,0.07988226754324756
66,171,10.299700218334532,57.63363509654999,11.257934994167751,62.79370855808258,11.397469213831494,21.288407936096192,0.958234775833219,1.0977689954969616,0.13953421966374258,full,0.958234775833219
67,162,9.081301865754304,59.31866172790527,9.049061704564977,62.295917978286745,8.124489831335751,19.84301999092102,-0.0322401611893266,-0.9568120344185527,-0.9245718732292261,inv_no_env,0.9245718732292261
68,161,8.25759540581555,61.95389181613922,7.831409786058509,62.483053965568544,7.5151248718640815,19.679490461349488,-0.4261856197570415,-0.7424705339514688,-0.3162849141944273,inv_no_env,0.3162849141944273
69,144,8.472777247428894,65.48236281871796,7.425176779429118,62.646491565704345,8.008298648728264,19.668092994689943,-1.047600467999776,-0.46447859870063013,0.5831218692991458,inv_disentangle,0.5831218692991458
70,137,7.217463862286867,69.44949512004852,8.363643966452049,63.36929854393006,8.030789994845426,19.67106310367584,1.1461801041651816,0.8133261325585588,-0.3328539716066228,full,0.8133261325585588
71,131,7.189890868791187,74.20965882778168,8.224649778759206,63.89238387107849,6.645760310515192,19.251335473060607,1.0347589099680192,-0.5441305582759943,-1.5788894682440135,inv_no_env,0.5441305582759943
72,121,7.285274316456692,79.82438056468963,7.7535380213713845,64.26651519298554,6.509811369840764,19.13247371673584,0.46826370491469227,-0.775462946615928,-1.2437266515306202,inv_no_env,0.775462946615928
73,105,6.620172427949451,85.19384383678437,7.325174985613142,64.4210219669342,5.629362015497117,18.882335052490234,0.7050025576636907,-0.9908104124523343,-1.695812970116025,inv_no_env,0.9908104124523343
74,110,6.153708007118919,87.96858121395111,6.622696720470081,64.48071842193603,5.8196332584727894,18.91078293323517,0.46898871335116254,-0.3340747486461293,-0.8030634619972918,inv_no_env,0.3340747486461293
75,111,5.013376528078371,88.38223106384277,5.192336503449861,64.23805035114289,4.42620782594423,18.49061131954193,0.1789599753714901,-0.5871687021341412,-0.7661286775056313,inv_no_env,0.5871687021341412
76,95,6.316404202109889,87.74596719264984,6.433573793110095,64.77703824043274,4.750265844244706,18.55035804271698,0.11716959100020574,-1.5661383578651833,-1.683307948865389,inv_no_env,1.5661383578651833
77,107,13.521034543759354,87.24715534687043,11.667273815547194,66.18764048099519,9.554769605119652,19.88476680755615,-1.8537607282121602,-3.9662649386397018,-2.1125042104275416,inv_no_env,2.1125042104275416
78,114,12.061748989841394,86.12764623165131,11.75919124536347,66.32551745414735,9.251780811109041,19.818387322425842,-0.30255774447792483,-2.809968178732353,-2.507410434254428,inv_no_env,2.507410434254428
79,127,14.40101073858306,85.98180751800537,16.19619923689234,67.75795843601227,13.487003716896838,21.303947834968568,1.7951884983092796,-0.9140070216862224,-2.709195519995502,inv_no_env,0.9140070216862224
80,126,11.361159264095246,82.15871705055237,13.578010528806656,66.17425697326661,11.538100802709186,20.95192207336426,2.2168512647114103,0.17694153861394035,-2.03990972609747,full,0.17694153861394035
81,134,17.66183639640239,81.3711650466919,17.152486402597,65.28099793434143,16.143515074431008,22.615954761505126,-0.5093499938053903,-1.5183213219713814,-1.008971328165991,inv_no_env,1.008971328165991
82,137,15.523053566034694,74.19803776741028,14.623297489472549,63.09102284431457,14.320038537909515,21.973090634346008,-0.8997560765621451,-1.2030150281251792,-0.3032589515630342,inv_no_env,0.3032589515630342
83,141,16.56947616144275,69.28952436923981,15.776507898425379,62.7879657459259,15.532873383650543,22.45256106376648,-0.7929682630173716,-1.0366027777922078,-0.24363451477483622,inv_no_env,0.24363451477483622
84,139,13.490181326008528,64.09295201301575,15.27348208255905,62.31511034965515,14.308043527946198,21.919390578269958,1.7833007565505223,0.81786220193767,-0.9654385546128523,full,0.81786220193767
85,134,13.800123115084064,60.21777193069458,16.350879839996793,62.65419711112976,13.292576419773386,21.628859457969664,2.5507567249127288,-0.507546695310678,-3.0583034202234067,inv_no_env,0.507546695310678
86,131,15.797238138795809,56.82773547172546,16.360122200186925,62.65687136650085,12.63437834586806,21.21406403064728,0.5628840613911166,-3.1628597929277493,-3.725743854318866,inv_no_env,3.1628597929277493
87,125,17.246324844360352,57.23125545024872,20.927109741210938,63.979733662605284,14.718825653076172,21.618955078125,3.680784896850586,-2.52749919128418,-6.208284088134766,inv_no_env,2.52749919128418
88,127,16.26609997486505,56.869811887741086,14.193571736493448,62.12801568984985,13.349545426256075,21.271845512390136,-2.0725282383716017,-2.916554548608975,-0.8440263102373731,inv_no_env,0.8440263102373731
89,131,14.564856754914494,58.70475472927094,16.058480561234568,62.87368483543396,13.737186373645113,21.428794021606446,1.4936238063200733,-0.8276703812693817,-2.321294187589455,inv_no_env,0.8276703812693817
90,126,12.389556703113374,58.62300183296204,14.203281871856205,62.16355734348297,12.508496087694924,20.89215353012085,1.813725168742831,0.11893938458154985,-1.6947857841612812,full,0.11893938458154985
91,129,11.819329490957333,58.63143263339996,12.272991579632427,61.8434482049942,11.865303039550781,20.804273133277892,0.4536620886750935,0.045973548593448044,-0.40768854008164546,full,0.045973548593448044
92,123,10.989286035057006,58.39582266807556,11.661317499672494,61.665793175697324,13.17058020490941,21.06557137489319,0.6720314646154879,2.1812941698524035,1.5092627052369156,full,0.6720314646154879
93,129,12.364037565482679,59.64432319164276,12.1180951170219,62.01250318050384,13.906430931978447,21.334636697769167,-0.24594244846077906,1.5423933664957676,1.7883358149565467,inv_disentangle,0.24594244846077906
94,130,10.757107969430777,60.751995825767516,12.665515958345853,62.32934214115143,12.767644720811111,21.031381435394287,1.9084079889150765,2.010536751380334,0.1021287624652576,full,1.9084079889150765
95,131,11.756863630454959,62.45093379020691,13.711254512990704,62.663408074378964,14.617261988516072,21.604522137641908,1.9543908825357459,2.860398358061113,0.9060074755253673,full,1.9543908825357459
96,138,12.629279855368793,62.39553290367127,13.537906480872113,62.730463380813596,16.402112518531688,22.450013489723204,0.9086266255033202,3.7728326631628946,2.8642060376595744,full,0.9086266255033202
97,132,8.80709018129291,60.1585721540451,10.584194400093772,61.75556787967682,15.285049091685902,21.911298332214354,1.7771042188008614,6.477958910392992,4.700854691592131,full,1.7771042188008614
98,134,11.021670156450414,60.57894053459167,11.343022004881902,62.29950036048889,15.375863516508643,22.073053064346315,0.32135184843148856,4.354193360058229,4.03284151162674,full,0.32135184843148856
99,125,9.85127490234375,60.99912673473358,9.731904220581054,61.7432086277008,14.829278671264648,21.605762510299684,-0.11937068176269605,4.978003768920898,5.097374450683594,inv_disentangle,0.11937068176269605
100,131,14.275454805097507,65.3287075996399,19.160048797840382,64.70607307910919,13.58244473697575,21.204772429466246,4.884593992742875,-0.6930100681217564,-5.577604060864632,inv_no_env,0.6930100681217564
101,137,12.533532497656607,67.14173602581025,15.661350222399635,63.364075365066526,15.481637216832516,22.049651069641115,3.1278177247430285,2.948104719175909,-0.17971300556711967,full,2.948104719175909
102,148,12.13250513334532,67.27611407279969,14.63943691511412,62.756793889999386,15.56885678059346,22.42088234901428,2.506931781768799,3.4363516472481397,0.9294198654793409,full,2.506931781768799
103,160,14.873823523521423,67.66781093597412,16.890396845340728,63.32461667060852,16.86010550260544,23.234879302978516,2.0165733218193047,1.9862819790840156,-0.030291342735289106,full,1.9862819790840156
104,156,16.772216796875,66.12794651985169,19.10881134179922,63.706187362670896,16.78684293306791,23.100011811256408,2.336594544924221,0.0146261361929092,-2.321968408731312,full,0.0146261361929092
105,156,18.05026115515293,64.34620253086091,19.853411014263447,63.77520978450775,17.573249547909466,23.45862156391144,1.8031498591105155,-0.47701160724346536,-2.280161466353981,inv_no_env,0.47701160724346536
106,164,16.504610282618824,60.46968453884125,16.356670635502514,62.35274224758148,16.936527356868837,23.517542796134947,-0.1479396471163099,0.4319170742500127,0.5798567213663226,inv_disentangle,0.1479396471163099
107,160,14.12052662372589,56.61620108604431,15.190858936309814,61.73069839954376,15.586156451702118,22.874716997146606,1.0703323125839237,1.4656298279762279,0.3952975153923042,full,1.0703323125839237
108,160,11.38459005355835,53.95961666584015,12.151659047603607,60.69936063289642,11.853813290596008,21.381883311271668,0.7670689940452569,0.46922323703765834,-0.2978457570075985,full,0.46922323703765834
109,163,12.922640478684126,54.75902993679047,13.053469207389224,61.32639177799225,12.617400772001114,21.756291913986207,0.13082872870509732,-0.3052397066830128,-0.43606843538811013,inv_no_env,0.3052397066830128
110,168,11.209583872840518,54.41441041946411,13.179981549580893,61.4669605922699,12.837891771679832,21.92707932472229,1.9703976767403741,1.6283078988393136,-0.34208977790106054,full,1.6283078988393136
111,177,12.999258332333323,55.978397388458255,14.673015820778023,62.36284976482391,15.056291213816841,23.01732364654541,1.6737574884447,2.0570328814835186,0.38327539303881863,full,1.6737574884447
112,170,10.021692657470703,56.015658564567566,14.155803826275994,62.31811002731323,12.137998648250804,21.55797661304474,4.1341111688052905,2.1163059907801003,-2.01780517802519,full,2.1163059907801003
113,172,12.665770153666651,58.81023962020874,14.109541527060575,62.70102175712586,12.595547454301702,21.7672509098053,1.4437713733939237,-0.07022269936494929,-1.513994072758873,inv_no_env,0.07022269936494929
114,183,11.699229714648972,60.15704696178436,12.974215033275833,62.847221870422366,12.979588545085303,22.236473040580748,1.274985318626861,1.280358830436331,0.0053735118094699885,full,1.274985318626861
115,180,12.046471394432915,61.7954287815094,14.290515995025634,63.82928907871246,14.768709172142877,23.007995171546938,2.2440446005927193,2.722237777709962,0.47819317711724274,full,2.2440446005927193
116,185,9.91908085797284,63.029154777526855,11.103616580447635,62.91143193721771,12.004974633294182,21.963307857513428,1.184535722474795,2.085893775321342,0.9013580528465468,full,1.184535722474795
117,173,9.830706513685987,64.43824067592621,11.289522303322148,63.37062325000763,10.226523085136634,20.93492496967316,1.4588157896361604,0.39581657145064675,-1.0629992181855137,full,0.39581657145064675
118,165,12.802697303078391,66.8587047958374,12.47411828474565,64.16626149654388,10.276005218968248,20.808431925773622,-0.32857901833274106,-2.5266920841101435,-2.1981130657774024,inv_no_env,2.1981130657774024
119,162,9.422400097788117,66.92133089542389,9.090792361600899,63.19735239982605,9.182827666953758,20.34674110889435,-0.33160773618721784,-0.2395724308343592,0.09203530535285864,inv_disentangle,0.09203530535285864
120,155,9.190012248869865,68.6650322151184,9.726477875248078,63.915021095275875,8.592415200510333,20.2159988451004,0.536465626378213,-0.5975970483595319,-1.134062674737745,inv_no_env,0.5975970483595319
121,152,9.489683954339279,70.69282980442047,9.814402680648001,64.18991413593292,8.984974785854941,20.26777356624603,0.32471872630872234,-0.5047091684843377,-0.82942789479306,inv_no_env,0.5047091684843377
