sample_index,base_mae,full_mae,delta_base_minus_full,base_mae_masked,full_mae_masked,delta_masked_base_minus_full,metric_valid_count,env_delta_abs_mean,env_delta_signed_mean,label,label_masked
106,71.47836303710938,60.469688415527344,11.008674621582031,50.26414229230183,16.504610387290395,33.75953190501143,164,20.502370834350586,20.502370834350586,env_helps,env_helps
107,67.96027374267578,56.6161994934082,11.344074249267578,46.50521240234375,14.120526123046876,32.38468627929687,160,17.66307830810547,17.66307830810547,env_helps,env_helps
108,66.29125213623047,53.95961380004883,12.33163833618164,44.877157592773436,11.384590148925781,33.492567443847655,160,16.128652572631836,16.128652572631836,env_helps,env_helps
109,65.7383041381836,54.759029388427734,10.97927474975586,43.38555046970859,12.922640373370399,30.46291009633819,163,16.863418579101562,16.863418579101562,env_helps,env_helps
110,66.23297882080078,54.41440963745117,11.81856918334961,42.64741443452381,11.209583827427455,31.437830607096355,168,17.105113983154297,17.105113983154297,env_helps,env_helps
111,67.40811157226562,55.978397369384766,11.42971420288086,41.36085087835452,12.999257922846045,28.361592955508474,177,16.440929412841797,16.440929412841797,env_helps,env_helps
112,67.73846435546875,56.015655517578125,11.722808837890625,40.125298713235296,10.021692612591911,30.103606100643383,170,15.835783958435059,15.808123588562012,env_helps,env_helps
113,69.8373031616211,58.810245513916016,11.027057647705078,40.12398937136628,12.665770064952762,27.45821930641352,172,14.862495422363281,14.782845497131348,env_helps,env_helps
114,71.03752136230469,60.157047271728516,10.880474090576172,36.753978291495905,11.699229422814208,25.0547488686817,183,13.677921295166016,13.624571800231934,env_helps,env_helps
115,71.17679595947266,61.79542922973633,9.381366729736328,33.81373697916667,12.046470811631945,21.767266167534725,180,11.785531997680664,11.756439208984375,env_helps,env_helps
116,71.59703826904297,63.029151916503906,8.567886352539062,29.169607791385136,9.91908057960304,19.250527211782096,185,10.541568756103516,10.471649169921875,env_helps,env_helps
117,72.1471176147461,64.43824005126953,7.7088775634765625,28.351057284140172,9.830706822389812,18.52035046175036,173,9.156057357788086,8.995484352111816,env_helps,env_helps
118,73.61595916748047,66.85870361328125,6.757255554199219,29.79611446496212,12.802697383996213,16.993417080965905,165,7.894193172454834,7.811685085296631,env_helps,env_helps
119,73.18851470947266,66.92134094238281,6.267173767089844,25.349081910686728,9.422400203751929,15.926681706934799,162,7.007769584655762,6.969000339508057,env_helps,env_helps
120,73.2436752319336,68.66503143310547,4.578643798828125,21.699557396673388,9.19001228578629,12.509545110887098,155,5.367196083068848,5.27580451965332,env_helps,env_helps
121,74.36893463134766,70.69283294677734,3.6761016845703125,19.809030633223685,9.489684255499588,10.319346377724097,152,4.474453449249268,4.378280162811279,env_helps,env_helps
122,74.45128631591797,71.79029846191406,2.6609878540039062,17.182620337701614,9.667242628528227,7.5153777091733875,155,3.3626646995544434,3.237384080886841,env_helps,env_helps
123,70.6082763671875,70.1075210571289,0.5007553100585938,7.873064826516544,6.377718308392693,1.495346518123851,136,0.5837774872779846,0.5705540776252747,env_helps,env_helps
124,70.4596939086914,70.4596939086914,0.0,6.2996005859375,6.2996005859375,0.0,125,0.0,0.0,env_neutral,env_neutral
125,70.54053497314453,70.54053497314453,0.0,7.250562195384174,7.250562195384174,0.0,109,0.0,0.0,env_neutral,env_neutral
126,72.13389587402344,72.13389587402344,0.0,6.935951010694781,6.935951010694781,0.0,103,0.0,0.0,env_neutral,env_neutral
127,75.3194351196289,75.31652069091797,0.0029144287109375,9.071952488111412,9.0617919921875,0.01016049592391255,115,0.002921142615377903,0.002921142615377903,env_helps,env_helps
128,78.61871337890625,78.51509094238281,0.1036224365234375,9.003016421669408,8.639428925095944,0.363587496573464,114,0.19219142198562622,0.16282878816127777,env_helps,env_helps
129,80.78903198242188,80.40386962890625,0.385162353515625,13.29136962890625,11.996143595377605,1.2952260335286443,120,0.4669276475906372,0.43506088852882385,env_helps,env_helps
130,81.15350341796875,80.14775085449219,1.0057525634765625,14.986211732376454,11.547589442526647,3.438622289849807,129,2.007084846496582,1.4777065515518188,env_helps,env_helps
