sample_index,full_mae_seed2024,inv_mae_seed2024,delta_seed2024,full_mae_seed2025,inv_mae_seed2025,delta_seed2025,full_mae_seed2026,inv_mae_seed2026,delta_seed2026,mean_full_mae,mean_inv_mae,mean_delta,full_win_count,inv_win_count,consistency_label
48,49.28554153442383,39.493263244628906,-9.792278289794922,51.33305740356445,51.244415283203125,-0.08864212036132812,53.4083251953125,51.466312408447266,-1.9420127868652344,51.342308044433594,47.4013303120931,-3.9409777323404946,0,3,InvOnly consistently better
49,48.26349639892578,38.485137939453125,-9.778358459472656,50.95811080932617,50.875762939453125,-0.08234786987304688,50.77806091308594,49.4189567565918,-1.3591041564941406,49.9998893737793,46.259952545166016,-3.7399368286132812,0,3,InvOnly consistently better
50,49.4328498840332,39.79811477661133,-9.634735107421875,53.96524429321289,54.0051383972168,0.03989410400390625,52.14070129394531,50.78459930419922,-1.3561019897460938,51.846265157063804,48.19595082600912,-3.6503143310546875,1,2,Mixed
51,50.91128921508789,41.17351531982422,-9.737773895263672,56.24772644042969,56.263118743896484,0.015392303466796875,54.17243957519531,52.798988342285156,-1.3734512329101562,53.77715174357096,50.07854080200195,-3.6986109415690103,1,2,Mixed
52,49.24208068847656,39.037261962890625,-10.204818725585938,53.362548828125,53.37468719482422,0.01213836669921875,52.2409782409668,50.476932525634766,-1.7640457153320312,51.61520258585612,47.6296272277832,-3.9855753580729165,1,2,Mixed
53,52.05699157714844,41.1472282409668,-10.90976333618164,51.631160736083984,51.345603942871094,-0.2855567932128906,53.211612701416016,51.335933685302734,-1.8756790161132812,52.29992167154948,47.94292195638021,-4.3569997151692705,0,3,InvOnly consistently better
54,56.704959869384766,46.2824592590332,-10.422500610351562,55.12504577636719,54.61179733276367,-0.5132484436035156,57.72357940673828,55.733863830566406,-1.989715576171875,56.517861684163414,52.209373474121094,-4.308488210042317,0,3,InvOnly consistently better
55,60.651092529296875,50.29212951660156,-10.358963012695312,58.219825744628906,57.766048431396484,-0.4537773132324219,61.143985748291016,59.42061996459961,-1.7233657836914062,60.0049680074056,55.82626597086588,-4.178702036539714,0,3,InvOnly consistently better
56,63.894935607910156,52.931766510009766,-10.96316909790039,60.34391784667969,59.83224105834961,-0.5116767883300781,62.83951187133789,61.07341766357422,-1.7660942077636719,62.35945510864258,57.94580841064453,-4.413646697998047,0,3,InvOnly consistently better
57,64.32514953613281,53.10002517700195,-11.22512435913086,60.8443489074707,60.385921478271484,-0.45842742919921875,63.995689392089844,62.043785095214844,-1.951904296875,63.05506261189779,58.509910583496094,-4.545152028401692,0,3,InvOnly consistently better
58,65.40998840332031,54.037532806396484,-11.372455596923828,62.43343734741211,61.75821304321289,-0.6752243041992188,65.10986328125,63.18766784667969,-1.9221954345703125,64.31776301066081,59.66113789876302,-4.656625111897786,0,3,InvOnly consistently better
59,65.60263061523438,53.173248291015625,-12.42938232421875,62.14983367919922,61.61601638793945,-0.5338172912597656,64.52653503417969,62.47565841674805,-2.0508766174316406,64.09299977620442,59.08830769856771,-5.004692077636719,0,3,InvOnly consistently better
60,65.0240707397461,53.39714813232422,-11.626922607421875,62.33598709106445,61.7035026550293,-0.6324844360351562,64.91094970703125,62.98681640625,-1.92413330078125,64.09033584594727,59.36248906453451,-4.727846781412761,0,3,InvOnly consistently better
61,64.2438735961914,53.019405364990234,-11.224468231201172,62.350555419921875,61.63192367553711,-0.7186317443847656,64.90190887451172,62.87018585205078,-2.0317230224609375,63.832112630208336,59.17383829752604,-4.658274332682292,0,3,InvOnly consistently better
62,63.260799407958984,50.965858459472656,-12.294940948486328,61.15940475463867,60.63664245605469,-0.5227622985839844,63.65837097167969,61.71200180053711,-1.9463691711425781,62.692858378092446,57.77150090535482,-4.92135747273763,0,3,InvOnly consistently better
63,60.13605499267578,48.92123031616211,-11.214824676513672,60.32072448730469,59.59843826293945,-0.7222862243652344,62.44871520996094,60.64103698730469,-1.80767822265625,60.96849822998047,56.38690185546875,-4.581596374511719,0,3,InvOnly consistently better
64,57.55891036987305,47.11101150512695,-10.447898864746094,59.782752990722656,59.00080490112305,-0.7819480895996094,62.4277229309082,60.00032043457031,-2.4274024963378906,59.92312876383463,55.37071228027344,-4.552416483561198,0,3,InvOnly consistently better
65,53.48945236206055,43.999637603759766,-9.489814758300781,56.80463409423828,56.040992736816406,-0.763641357421875,59.31638717651367,56.6657600402832,-2.6506271362304688,56.536824544270836,52.23546346028646,-4.301361083984375,0,3,InvOnly consistently better
66,50.86391067504883,43.64826583862305,-7.215644836425781,55.411827087402344,54.50053405761719,-0.9112930297851562,57.37150573730469,54.90324401855469,-2.46826171875,54.54908116658529,51.017347971598305,-3.531733194986979,0,3,InvOnly consistently better
67,48.0141716003418,44.316619873046875,-3.697551727294922,53.18647384643555,52.67478942871094,-0.5116844177246094,54.10956573486328,52.17060852050781,-1.9389572143554688,51.77007039388021,49.720672607421875,-2.0493977864583335,0,3,InvOnly consistently better
68,44.619728088378906,44.820159912109375,0.20043182373046875,52.2634162902832,51.666648864746094,-0.5967674255371094,52.88222122192383,51.08836364746094,-1.7938575744628906,49.92178853352865,49.191724141438804,-0.7300643920898438,1,2,Mixed
69,40.027122497558594,43.649024963378906,3.6219024658203125,51.32054138183594,50.443885803222656,-0.8766555786132812,52.088584899902344,50.0630989074707,-2.0254859924316406,47.81208292643229,48.05200322469076,0.23992029825846353,1,2,Mixed
70,36.19026184082031,42.20631790161133,6.016056060791016,51.35419464111328,50.47954177856445,-0.8746528625488281,51.82399368286133,50.034446716308594,-1.7895469665527344,46.45615005493164,47.57343546549479,1.1172854105631511,1,2,Mixed
71,32.98310470581055,39.663578033447266,6.680473327636719,50.682334899902344,49.990596771240234,-0.6917381286621094,51.49842834472656,49.751739501953125,-1.7466888427734375,45.054622650146484,46.46863810221354,1.4140154520670574,1,2,Mixed
72,32.062931060791016,38.58124542236328,6.518314361572266,50.45155334472656,50.11772537231445,-0.3338279724121094,51.603851318359375,50.04911804199219,-1.5547332763671875,44.706111907958984,46.24936294555664,1.5432510375976562,1,2,Mixed
73,32.47886657714844,38.360687255859375,5.8818206787109375,50.450504302978516,50.055233001708984,-0.39527130126953125,51.81831359863281,50.311065673828125,-1.5072479248046875,44.91589482625326,46.24232864379883,1.326433817545573,1,2,Mixed
74,32.632198333740234,38.72964859008789,6.097450256347656,50.38811111450195,49.9142951965332,-0.47381591796875,51.06089782714844,49.65830612182617,-1.4025917053222656,44.69373575846354,46.10074996948242,1.4070142110188801,1,2,Mixed
75,35.57794952392578,42.258914947509766,6.680965423583984,50.843650817871094,50.59395980834961,-0.24969100952148438,51.66066360473633,50.230018615722656,-1.4306449890136719,46.02742131551107,47.694297790527344,1.6668764750162761,1,2,Mixed
76,37.536312103271484,44.642330169677734,7.10601806640625,52.29020690917969,52.33096694946289,0.040760040283203125,51.97602081298828,50.68620300292969,-1.2898178100585938,47.267513275146484,49.21983337402344,1.9523200988769531,2,1,Mixed
77,37.45857238769531,43.17279815673828,5.714225769042969,52.66666030883789,52.555728912353516,-0.110931396484375,51.906028747558594,50.137081146240234,-1.7689476013183594,47.343753814697266,48.62186940511068,1.2781155904134114,1,2,Mixed
78,39.61537170410156,42.718048095703125,3.1026763916015625,54.272705078125,54.35056686401367,0.07786178588867188,53.43495178222656,51.41245651245117,-2.0224952697753906,49.10767618815104,49.493690490722656,0.38601430257161456,2,1,Mixed
79,42.798648834228516,43.06584167480469,0.2671928405761719,57.27739334106445,56.908931732177734,-0.36846160888671875,61.309627532958984,58.56159973144531,-2.748027801513672,53.795223236083984,52.84545771280924,-0.9497655232747396,1,2,Mixed
80,49.588504791259766,46.795005798339844,-2.793498992919922,61.021541595458984,60.966163635253906,-0.055377960205078125,65.59564208984375,62.97797393798828,-2.6176681518554688,58.7352294921875,56.913047790527344,-1.8221817016601562,0,3,InvOnly consistently better
81,56.047996520996094,50.71885681152344,-5.329139709472656,63.638057708740234,63.337913513183594,-0.3001441955566406,70.77147674560547,67.89513397216797,-2.8763427734375,63.485843658447266,60.650634765625,-2.8352088928222656,0,3,InvOnly consistently better
82,57.08675765991211,49.62491226196289,-7.461845397949219,63.4921760559082,62.989627838134766,-0.5025482177734375,69.74526977539062,67.19491577148438,-2.55035400390625,63.44140116373698,59.936485290527344,-3.5049158732096353,0,3,InvOnly consistently better
83,59.90007400512695,50.85758972167969,-9.042484283447266,63.21653747558594,62.613868713378906,-0.6026687622070312,69.52928924560547,67.21235656738281,-2.3169326782226562,64.21530024210612,60.22793833414713,-3.9873619079589844,0,3,InvOnly consistently better
84,60.0309944152832,50.25193786621094,-9.779056549072266,61.665401458740234,61.08058547973633,-0.5848159790039062,67.32109069824219,64.73900604248047,-2.5820846557617188,63.005828857421875,58.69050979614258,-4.315319061279297,0,3,InvOnly consistently better
